title,formatted_duration
Surah Al-Baqarah Mishary Rashed Alafasy سورة البقرة 2001م الشيخ مشاري راشد العفاسي,02:21:21
الشيخ مشاري راشد العفاسي سورة النساء Surat An-Nisa' - Mishary Rashid Alafasy,01:30:36
Surat Al-'Imran - Mishary Alafasy سورة آل عمران 2001م الشيخ مشاري راشد العفاسي,01:23:46
Surat Al-A'raf - Mishary Rashid Alafasy سورة الأعراف الشيخ مشاري راشد العفاسي,01:15:53
Surat Al-ma'ida - Mishary Rashid Alafasy سورة المائدة الشيخ مشاري راشد العفاسي,01:05:22
Surat Al-An’am - Mishary Rashid Alafasy,01:01:00
Surat At-Tawba Mishary Rashid Alafasy,00:58:17
Surat Hood - Mishary Rashid Alafasy,00:50:21
سورة النحل الشيخ مشاري راشد العفاسي Surat An-Nahl Mishary Rashed Alafasy 1426,00:47:25
الشيخ مشاري راشد العفاسي سورة يوسف Surat Yusuf - Mishary Rashid Alafasy,00:47:24
Surat Yunus - Mishary Rashid Alafasy,00:43:02
Surat Al-Kahf - Mishary Rashed Alafasy الشيخ مشاري راشد العفاسي سورة الكهف,00:40:18
Surat Al-Isra‘ - Mishary Rashed Alafasy,00:40:09
سورة الحج الشيخ مشاري راشد العفاسي Surat Al-Hajj - Mishary Rashed Alafasy,00:33:18
Surat Ash-Shu`ara' - Mishary Rashed Alafasy,00:32:43
سورة القصص الشيخ مشاري راشد العفاسي Surat Al-Qasas Mishary Rashed Alafasy 1421,00:32:27
Surat Al-Anbiya' - Mishary Rashed Alafasy,00:32:24
Surat Ghafir - Mishary Rashed Alafasy,00:32:11
Surat Al-Ahzab - Mishary Rashed Alafasy,00:31:42
Surat An-Nur - Mishary Rashed Alafasy,00:31:27
Surat Ta Ha - Mishary Rashed Alafasy,00:30:21
Surat Al-Anfal - Mishary Rashid Alafasy,00:28:37
Surat An-Naml - Mishary Rashed Alafasy 1421,00:26:33
Surat Al-Mu'minun - Mishary Rashed Alafasy,00:26:27
Surat Az-Zumar - Mishary Rashed Alafasy,00:26:03
Surat As-Saffat - Mishary Rashed Alafasy,00:24:49
Surat Al-Ankabut - Mishary Rashed Alafasy,00:24:44
Surat Maryam - Mishary Rashed Alafasy,00:24:26
