title,view_count
Surah Al-Baqarah Mishary Rashed Alafasy سورة البقرة 2001م الشيخ مشاري راشد العفاسي,52082787
Surat Al-Kahf - Mishary Rashed Alafasy الشيخ مشاري راشد العفاسي سورة الكهف,31047703
سورة الملك الشيخ مشاري راشد العفاسي  Surat Al-Mulk Mishary Rashid Alafasy,16304637
الشيخ مشاري راشد العفاسي سورة يوسف Surat Yusuf - Mishary Rashid Alafasy,14213908
Surat Al-'Imran - Mishary Alafasy سورة آل عمران 2001م الشيخ مشاري راشد العفاسي,11943536
سورة يس الشيخ مشاري راشد العفاسي Surat Ya Sin Mishary Rashed Alafasy,11285902
Surat Al-Waqi`ah - Mishary Rashed Alafasy,9995632
سورة الرحمن الشيخ مشاري راشد العفاسي Surat Ar-Rahman - Mishary Rashed Alafasy,7906192
Surat Maryam - Mishary Rashed Alafasy,5527407
الشيخ مشاري راشد العفاسي سورة النساء Surat An-Nisa' - Mishary Rashid Alafasy,4998412
Surat Al-ma'ida - Mishary Rashid Alafasy سورة المائدة الشيخ مشاري راشد العفاسي,2844407
Surat Al-Isra‘ - Mishary Rashed Alafasy,2538046
Surat Al-Fath - Mishary Rashed Alafasy,2486475
سورة السجدة الشيخ مشاري راشد العفاسي Surat As-Sajdah - Mishary Alafasy,1840851
Surat At-Tawba Mishary Rashid Alafasy,1829552
Surat Al-Muzammil - Mishary Rashed Alafasy,1742455
Surat Al-An’am - Mishary Rashid Alafasy,1694795
سورة القصص الشيخ مشاري راشد العفاسي Surat Al-Qasas Mishary Rashed Alafasy 1421,1692156
Surat Al-Mu'minun - Mishary Rashed Alafasy,1689076
Surat An-Nur - Mishary Rashed Alafasy,1657905
Surat Ad-Dukhan - Mishary Rashed Alafasy,1532482
Surat Muhammad - Mishary Rashed Alafasy,1427145
Surat Hood - Mishary Rashid Alafasy,1409669
Surat Al-insan - Mishary Rashed Alafasy,1376657
Surat Al-A'raf - Mishary Rashid Alafasy سورة الأعراف الشيخ مشاري راشد العفاسي,1358631
Surat Al-Ahzab - Mishary Rashed Alafasy,1282571
Surat Al-Jumu`ah - Mishary Rashed Alafasy,1230573
سورة إبراهيم الشيخ مشاري راشد العفاسي Surat ibrahim - Mishary Alafasy,1202254
Surat Al-Qalam - Mishary Rashed Alafasy,1180408
سورة لقمان الشيخ مشاري راشد العفاسي Surat Luqman Mishary Rashed Alafasy,1163813
